@0	0010
@1	2314
@2	2610
@3	1c24
@4	1527
@5	2a00
@6	0523
@7	1f0c
@8	0a23
@9	230e
@a	1907
@b	2b07
@c	171c
@d	130a
@e	0c29
@f	032c
@10	1b0a
@11	2400
@12	2926
@13	2c04
@14	1d22
@15	1b2a
@16	051b
@17	1e14
@18	0b04
@19	1c11
@1a	0f07
@1b	131f
@1c	1912
@1d	1e2c
@1e	131d
@1f	0025
@20	0529
@21	1119
@22	1c12
@23	160f
@24	1b22
@25	2a04
@26	1b20
@27	2206
@28	1c11
@29	1819
@2a	2102
@2b	2703
@2c	030f
@2d	171b
@2e	0200
@2f	0511
@30	1421
@31	031b
@32	250f
@33	1501
@34	0f09
@35	270a
@36	0e2a
@37	0901
@38	211b
@39	0411
@3a	2522
@3b	0100
@3c	020d
@3d	100e
@3e	1904
@3f	280f
@40	1a07
@41	0a1b
@42	1213
@43	132b
@44	0129
@45	1827
@46	231b
@47	2a29
@48	0916
@49	081c
@4a	0b21
@4b	0214
@4c	1e24
@4d	142a
@4e	0c19
@4f	1810
@50	0428
@51	0407
@52	001f
@53	1a1a
@54	1419
@55	241d
@56	031f
@57	2508
@58	0301
@59	011a
@5a	081e
@5b	2a29
@5c	292a
@5d	1811
@5e	0b0a
@5f	1a03
@60	1900
@61	1b0e
@62	2326
@63	1511
@64	2a03
@65	191d
@66	280f
@67	0b05
@68	1826
@69	2429
@6a	0714
@6b	210f
@6c	082b
@6d	1e03
@6e	0208
@6f	2409
@70	1c21
@71	1407
@72	250f
@73	210e
@74	0625
@75	260a
@76	122b
@77	0515
@78	1f22
@79	0915
@7a	190b
@7b	0c17
@7c	0b22
@7d	1629
@7e	240c
@7f	1414
@80	1726
@81	0008
@82	0a1d
@83	140f
@84	1e0e
@85	001e
@86	1006
@87	0018
@88	050f
@89	1a04
@8a	1406
@8b	1421
@8c	0a14
@8d	0122
@8e	1a13
@8f	1715
@90	1204
@91	211b
@92	0902
@93	0d0f
@94	0714
@95	011f
@96	131d
@97	1120
@98	2017
@99	1f07
@9a	1206
@9b	2013
@9c	060a
@9d	1c01
@9e	0901
@9f	060c
@a0	0f0a
@a1	080d
@a2	0020
@a3	060a
@a4	0107
@a5	0505
@a6	0801
@a7	0a02
@a8	0805
@a9	0001
@aa	0c0a
@ab	0008
@ac	0901
@ad	0307
@ae	0809
@af	0808
@b0	0108
@b1	0208
@b2	0b00
@b3	0806
@b4	0c00
@b5	0a04
@b6	000c
@b7	0a05
@b8	0404
@b9	030c
@ba	0506
@bb	0307
@bc	0008
@bd	0a00
@be	0c0c
@bf	0903
@c0	0901
@c1	0905
@c2	070b
@c3	0608
@c4	0606
@c5	0201
@c6	060a
@c7	0b0a
@c8	0c02
@c9	0b00
@ca	0509
@cb	0009
@cc	0900
@cd	0b01
@ce	0a07
@cf	0600
@d0	0903
@d1	0905
@d2	0404
@d3	0800
@d4	0c08
@d5	0103
@d6	030c
@d7	0107
@d8	0000
@d9	030c
@da	0206
@db	020b
@dc	020c
@dd	0504
@de	090c
@df	0204
@e0	0304
@e1	0a06
@e2	0601
@e3	0203
@e4	0a0c
@e5	0a0c
@e6	0909
@e7	0306
@e8	0b07
@e9	010c
@ea	0a01
@eb	0c01
@ec	0500
@ed	000b
@ee	0503
@ef	0101
@f0	0109
@f1	0b04
@f2	0008
@f3	0705
@f4	0a05
@f5	0a04
@f6	0c0c
@f7	000a
@f8	0406
@f9	0602
@fa	0c03
@fb	0b08
@fc	0202
@fd	0808
@fe	0300
@ff	0c03
@100	0a0c
@101	090b
@102	0504
@103	000c
@104	0b0c
@105	010b
@106	0a06
@107	0303
@108	0400
@109	010a
@10a	0c0c
@10b	0006
@10c	0307
@10d	0b0b
@10e	0005
@10f	0a07
@110	0a05
@111	0002
@112	0702
@113	0008
@114	0501
@115	0c07
@116	0801
@117	0701
@118	0207
@119	0a08
@11a	0505
@11b	0907
@11c	0508
@11d	0009
@11e	0609
@11f	0205
@120	000a
@121	0a08
@122	050a
@123	0004
@124	0505
@125	0803
@126	0c03
